Time,normalized,interpolated,MGCplus_3,result,ModifiedMGCplus_3
1.26,0.046394397721822536,-0.00042,-0.00042,1,-0.00042
1.265,0.04645439772182254,-0.00036,-0.00036,1,-0.00036
1.27,0.04635439772182254,-0.00046,-0.00045999999999999996,1,-0.00046
1.275,0.04604439772182254,-0.0007700000000000001,-0.0007700000000000001,1,-0.0007700000000000001
1.28,0.04629439772182254,-0.0005200000000000001,-0.0005200000000000001,1,-0.0005200000000000001
1.285,0.046324397721822536,-0.00049,-0.00049,1,-0.00049
1.29,0.046324397721822536,-0.00049,-0.00049,1,-0.00049
1.295,0.04601439772182254,-0.0008,-0.0008,1,-0.0008
1.3,0.04587439772182254,-0.00094,-0.0009400000000000001,1,-0.00094
1.305,0.04611439772182254,-0.0007,-0.0007,1,-0.0007
1.31,0.046074397721822535,-0.00074,-0.00074,1,-0.00074
1.315,0.04603439772182254,-0.00078,-0.00078,1,-0.00078
1.32,0.04578439772182254,-0.00103,-0.00103,1,-0.00103
1.325,0.04556439772182254,-0.00125,-0.00125,1,-0.00125
1.33,0.04565439772182254,-0.00116,-0.00116,1,-0.00116
1.335,0.04574439772182254,-0.00107,-0.00107,1,-0.00107
1.34,0.045714397721822536,-0.0011,-0.0011,1,-0.0011
1.345,0.04552439772182254,-0.00129,-0.0012900000000000001,1,-0.00129
1.35,0.045484397721822535,-0.00133,-0.00133,1,-0.00133
1.355,0.045484397721822535,-0.00133,-0.00133,1,-0.00133
1.36,0.04538439772182254,-0.00143,-0.00143,1,-0.00143
1.365,0.045284397721822536,-0.00153,-0.0015300000000000001,1,-0.00153
1.37,0.04510439772182254,-0.00171,-0.0017100000000000001,1,-0.00171
1.375,0.045164397721822534,-0.00165,-0.00165,1,-0.00165
1.38,0.045464397721822536,-0.00135,-0.00135,1,-0.00135
1.385,0.045304397721822535,-0.00151,-0.00151,1,-0.00151
1.39,0.04502439772182254,-0.00179,-0.00179,1,-0.00179
1.395,0.04500439772182254,-0.00181,-0.0018100000000000002,1,-0.00181
1.4,0.04509439772182254,-0.00172,-0.00172,1,-0.00172
1.405,0.04493439772182254,-0.00188,-0.0018800000000000002,1,-0.00188
1.41,0.04483439772182254,-0.00198,-0.00198,1,-0.00198
1.415,0.04488439772182254,-0.00193,-0.00193,1,-0.00193
1.42,0.044984397721822535,-0.00183,-0.00183,1,-0.00183
1.425,0.045304397721822535,-0.00151,-0.00151,1,-0.00151
1.43,0.045664397721822535,-0.00115,-0.00115,1,-0.00115
1.435,0.04611439772182254,-0.0007,-0.0007,1,-0.0007
1.44,0.04617439772182254,-0.00064,-0.00064,1,-0.00064
1.445,0.04612439772182254,-0.0006900000000000001,-0.0006900000000000001,1,-0.0006900000000000001
1.45,0.04615439772182254,-0.00066,-0.00066,1,-0.00066
1.455,0.046184397721822534,-0.00063,-0.00063,1,-0.00063
1.46,0.04601439772182254,-0.0008,-0.0008,1,-0.0008
1.465,0.04608439772182254,-0.00073,-0.00073,1,-0.00073
1.47,0.04638439772182254,-0.00043,-0.00043,1,-0.00043
1.475,0.046644397721822536,-0.00017,-0.00016999999999999999,1,-0.00017
1.48,0.04655439772182254,-0.00026000000000000003,-0.00026000000000000003,1,-0.00026000000000000003
1.485,0.04629439772182254,-0.0005200000000000001,-0.0005200000000000001,1,-0.0005200000000000001
1.49,0.046274397721822534,-0.00054,-0.00054,1,-0.00054
1.495,0.04663439772182254,-0.00018,-0.00018,1,-0.00018
1.5,0.04694439772182254,0.00013000000000000002,0.00013000000000000002,1,0.00013000000000000002
1.505,0.04710439772182254,0.00029,0.00029,1,0.00029
1.51,0.04723439772182254,0.00042,0.00042,1,0.00042
1.515,0.04740439772182254,0.00059,0.00059,1,0.00059
1.52,0.047544397721822534,0.00073,0.00073,1,0.00073
1.525,0.047454397721822535,0.00064,0.00064,1,0.00064
1.53,0.04749439772182254,0.0006799999999999999,0.0006799999999999999,1,0.0006799999999999999
1.535,0.047504397721822536,0.0006900000000000001,0.0006900000000000001,1,0.0006900000000000001
1.54,0.04756439772182254,0.00075,0.00075,1,0.00075
1.545,0.047544397721822534,0.00073,0.00073,1,0.00073
1.55,0.047544397721822534,0.00073,0.00073,1,0.00073
1.555,0.04746439772182254,0.00065,0.00065,1,0.00065
1.56,0.04723439772182254,0.00042,0.00042,1,0.00042
1.565,0.04714439772182254,0.00033,0.00033,1,0.00033
1.57,0.04728439772182254,0.00047,0.00047000000000000004,1,0.00047
1.575,0.04737439772182254,0.00056,0.00056,1,0.00056
1.58,0.04712439772182254,0.00031,0.00031,1,0.00031
1.585,0.04670439772182254,-0.00011,-0.00011,1,-0.00011
1.59,0.04645439772182254,-0.00036,-0.00036,1,-0.00036
1.595,0.04681439772182254,0.0,0.0,1,0.0
1.6,0.04708439772182254,0.00027,0.00027,1,0.00027
1.605,0.04733439772182254,0.0005200000000000001,0.0005200000000000001,1,0.0005200000000000001
1.61,0.047524397721822535,0.0007099999999999999,0.0007099999999999999,1,0.0007099999999999999
1.615,0.04767439772182254,0.00086,0.00086,1,0.00086
1.62,0.047724397721822534,0.00091,0.00091,1,0.00091
